country,code,GDP_Rate,Population_Rate,male_female
Kyrgyzstan,KGZ,1.1776946886573057e-12,1.3353576534349705e-44,4.657239858295413e-25
Turkmenistan,TKM,2.261766309944743e-06,5.790235481491263e-40,1.233069055333711e-11
Uruguay,URY,2.1438705407908426e-11,1.012917443501497e-66,1.0864051102892076e-23
Qatar,QAT,4.089678040409708e-12,3.3155018421307014e-09,7.189543481656993e-07
Bahrain,BHR,2.765909118997634e-16,2.514340465215573e-15,2.2053478001614633e-05
Aruba,ABW,1.6163564580262387e-21,1.0474967600691039e-27,3.998110578952087e-07
Armenia,ARM,2.607052291345548e-07,1.8744892135813956e-39,1.0755010190976494e-19
Puerto Rico,PRI,2.3387158646214816e-18,2.3472814462679034e-78,7.893638116830249e-37
Mauritius,MUS,2.2626370126813873e-15,1.6051136565881385e-57,1.400002822764119e-18
Thailand,THA,2.5242180576246127e-13,3.064950767505433e-53,1.3974979564681035e-23
Antigua and Barbuda,ATG,9.907555831860641e-22,2.8916301229920874e-37,0.013100279949369704
Brazil,BRA,1.0082322090273331e-12,7.465233658768908e-44,5.596596183294602e-32
Iceland,ISL,8.011056835645493e-22,5.368256923663207e-54,2.1761871193942454e-24
Russian Federation,RUS,1.7337539158967502e-08,5.254244303570245e-93,8.437584851895238e-23
Belarus,BLR,1.0642507051980466e-06,2.676737541298979e-57,5.212354755635449e-21
Saint Kitts and Nevis,KNA,5.561022423310229e-06,0.0,nan
Netherlands,NLD,1.371702917163318e-20,1.415588076453686e-73,1.293707402349204e-37
Trinidad and Tobago,TTO,1.6309399782623122e-10,2.2346307656675786e-61,9.255619079443313e-23
Argentina,ARG,3.794983306766827e-18,1.0337218304115669e-49,2.58233281290602e-40
Chile,CHL,7.098307726495123e-12,2.204265318754051e-46,3.3416817689534126e-22
Greece,GRC,1.616521199922238e-17,6.970024326636247e-74,4.874892918777282e-33
South Africa,ZAF,2.3297776271770563e-15,5.565452802630329e-38,1.516807410898857e-11
Sweden,SWE,6.284708664234882e-24,4.569713418135349e-73,2.5512715041926722e-27
Luxembourg,LUX,1.0283027057930348e-15,1.5757382983107404e-45,2.1033290400087084e-17
